silo_name,gvar,treat,diff_times,gt,RI,start_time,end_time,diff_estimate,diff_var,diff_estimate_covariates,diff_var_covariates,covariates,date_format,freq
71,1991/01/01,1,1995/01/01;1990/01/01,1991/01/01;1995/01/01,0,1989/01/01,2000/01/01,NA,NA,NA,NA,none,yyyy/mm/dd,1 year
71,1991/01/01,1,1996/01/01;1990/01/01,1991/01/01;1996/01/01,0,1989/01/01,2000/01/01,NA,NA,NA,NA,none,yyyy/mm/dd,1 year
71,1991/01/01,1,1997/01/01;1990/01/01,1991/01/01;1997/01/01,0,1989/01/01,2000/01/01,NA,NA,NA,NA,none,yyyy/mm/dd,1 year
71,1991/01/01,1,1998/01/01;1990/01/01,1991/01/01;1998/01/01,0,1989/01/01,2000/01/01,NA,NA,NA,NA,none,yyyy/mm/dd,1 year
71,1991/01/01,1,1999/01/01;1990/01/01,1991/01/01;1999/01/01,0,1989/01/01,2000/01/01,NA,NA,NA,NA,none,yyyy/mm/dd,1 year
71,1991/01/01,1,2000/01/01;1990/01/01,1991/01/01;2000/01/01,0,1989/01/01,2000/01/01,NA,NA,NA,NA,none,yyyy/mm/dd,1 year
73,1993/01/01,0,1993/01/01;1992/01/01,1993/01/01;1993/01/01,0,1989/01/01,2000/01/01,NA,NA,NA,NA,none,yyyy/mm/dd,1 year
73,1993/01/01,0,1994/01/01;1992/01/01,1993/01/01;1994/01/01,0,1989/01/01,2000/01/01,NA,NA,NA,NA,none,yyyy/mm/dd,1 year
73,1993/01/01,0,1995/01/01;1992/01/01,1993/01/01;1995/01/01,0,1989/01/01,2000/01/01,NA,NA,NA,NA,none,yyyy/mm/dd,1 year
73,1993/01/01,0,1996/01/01;1992/01/01,1993/01/01;1996/01/01,0,1989/01/01,2000/01/01,NA,NA,NA,NA,none,yyyy/mm/dd,1 year
73,1993/01/01,0,1997/01/01;1992/01/01,1993/01/01;1997/01/01,0,1989/01/01,2000/01/01,NA,NA,NA,NA,none,yyyy/mm/dd,1 year
73,1993/01/01,0,1998/01/01;1992/01/01,1993/01/01;1998/01/01,0,1989/01/01,2000/01/01,NA,NA,NA,NA,none,yyyy/mm/dd,1 year
73,1993/01/01,0,1999/01/01;1992/01/01,1993/01/01;1999/01/01,0,1989/01/01,2000/01/01,NA,NA,NA,NA,none,yyyy/mm/dd,1 year
73,1993/01/01,0,2000/01/01;1992/01/01,1993/01/01;2000/01/01,0,1989/01/01,2000/01/01,NA,NA,NA,NA,none,yyyy/mm/dd,1 year
46,1993/01/01,0,1993/01/01;1992/01/01,1993/01/01;1993/01/01,0,1989/01/01,2000/01/01,NA,NA,NA,NA,none,yyyy/mm/dd,1 year
46,1993/01/01,0,1994/01/01;1992/01/01,1993/01/01;1994/01/01,0,1989/01/01,2000/01/01,NA,NA,NA,NA,none,yyyy/mm/dd,1 year
46,1993/01/01,0,1995/01/01;1992/01/01,1993/01/01;1995/01/01,0,1989/01/01,2000/01/01,NA,NA,NA,NA,none,yyyy/mm/dd,1 year
46,1993/01/01,0,1996/01/01;1992/01/01,1993/01/01;1996/01/01,0,1989/01/01,2000/01/01,NA,NA,NA,NA,none,yyyy/mm/dd,1 year
46,1993/01/01,0,1997/01/01;1992/01/01,1993/01/01;1997/01/01,0,1989/01/01,2000/01/01,NA,NA,NA,NA,none,yyyy/mm/dd,1 year
46,1993/01/01,0,1998/01/01;1992/01/01,1993/01/01;1998/01/01,0,1989/01/01,2000/01/01,NA,NA,NA,NA,none,yyyy/mm/dd,1 year
46,1993/01/01,0,1999/01/01;1992/01/01,1993/01/01;1999/01/01,0,1989/01/01,2000/01/01,NA,NA,NA,NA,none,yyyy/mm/dd,1 year
46,1993/01/01,0,2000/01/01;1992/01/01,1993/01/01;2000/01/01,0,1989/01/01,2000/01/01,NA,NA,NA,NA,none,yyyy/mm/dd,1 year
58,1993/01/01,1,1993/01/01;1992/01/01,1993/01/01;1993/01/01,0,1989/01/01,2000/01/01,NA,NA,NA,NA,none,yyyy/mm/dd,1 year
58,1993/01/01,1,1994/01/01;1992/01/01,1993/01/01;1994/01/01,0,1989/01/01,2000/01/01,NA,NA,NA,NA,none,yyyy/mm/dd,1 year
58,1993/01/01,1,1995/01/01;1992/01/01,1993/01/01;1995/01/01,0,1989/01/01,2000/01/01,NA,NA,NA,NA,none,yyyy/mm/dd,1 year
58,1993/01/01,1,1996/01/01;1992/01/01,1993/01/01;1996/01/01,0,1989/01/01,2000/01/01,NA,NA,NA,NA,none,yyyy/mm/dd,1 year
58,1993/01/01,1,1997/01/01;1992/01/01,1993/01/01;1997/01/01,0,1989/01/01,2000/01/01,NA,NA,NA,NA,none,yyyy/mm/dd,1 year
58,1993/01/01,1,1998/01/01;1992/01/01,1993/01/01;1998/01/01,0,1989/01/01,2000/01/01,NA,NA,NA,NA,none,yyyy/mm/dd,1 year
58,1993/01/01,1,1999/01/01;1992/01/01,1993/01/01;1999/01/01,0,1989/01/01,2000/01/01,NA,NA,NA,NA,none,yyyy/mm/dd,1 year
58,1993/01/01,1,2000/01/01;1992/01/01,1993/01/01;2000/01/01,0,1989/01/01,2000/01/01,NA,NA,NA,NA,none,yyyy/mm/dd,1 year
71,1993/01/01,-1,1993/01/01;1992/01/01,1993/01/01;1993/01/01,1,1989/01/01,2000/01/01,NA,NA,NA,NA,none,yyyy/mm/dd,1 year
71,1993/01/01,-1,1994/01/01;1992/01/01,1993/01/01;1994/01/01,1,1989/01/01,2000/01/01,NA,NA,NA,NA,none,yyyy/mm/dd,1 year
71,1993/01/01,-1,1995/01/01;1992/01/01,1993/01/01;1995/01/01,1,1989/01/01,2000/01/01,NA,NA,NA,NA,none,yyyy/mm/dd,1 year
71,1993/01/01,-1,1996/01/01;1992/01/01,1993/01/01;1996/01/01,1,1989/01/01,2000/01/01,NA,NA,NA,NA,none,yyyy/mm/dd,1 year
71,1993/01/01,-1,1997/01/01;1992/01/01,1993/01/01;1997/01/01,1,1989/01/01,2000/01/01,NA,NA,NA,NA,none,yyyy/mm/dd,1 year
71,1993/01/01,-1,1998/01/01;1992/01/01,1993/01/01;1998/01/01,1,1989/01/01,2000/01/01,NA,NA,NA,NA,none,yyyy/mm/dd,1 year
71,1993/01/01,-1,1999/01/01;1992/01/01,1993/01/01;1999/01/01,1,1989/01/01,2000/01/01,NA,NA,NA,NA,none,yyyy/mm/dd,1 year
71,1993/01/01,-1,2000/01/01;1992/01/01,1993/01/01;2000/01/01,1,1989/01/01,2000/01/01,NA,NA,NA,NA,none,yyyy/mm/dd,1 year
58,1991/01/01,-1,1991/01/01;1990/01/01,1991/01/01;1991/01/01,1,1989/01/01,2000/01/01,NA,NA,NA,NA,none,yyyy/mm/dd,1 year
58,1991/01/01,-1,1992/01/01;1990/01/01,1991/01/01;1992/01/01,1,1989/01/01,2000/01/01,NA,NA,NA,NA,none,yyyy/mm/dd,1 year
58,1991/01/01,-1,1993/01/01;1990/01/01,1991/01/01;1993/01/01,1,1989/01/01,2000/01/01,NA,NA,NA,NA,none,yyyy/mm/dd,1 year
58,1991/01/01,-1,1994/01/01;1990/01/01,1991/01/01;1994/01/01,1,1989/01/01,2000/01/01,NA,NA,NA,NA,none,yyyy/mm/dd,1 year
58,1991/01/01,-1,1995/01/01;1990/01/01,1991/01/01;1995/01/01,1,1989/01/01,2000/01/01,NA,NA,NA,NA,none,yyyy/mm/dd,1 year
58,1991/01/01,-1,1996/01/01;1990/01/01,1991/01/01;1996/01/01,1,1989/01/01,2000/01/01,NA,NA,NA,NA,none,yyyy/mm/dd,1 year
58,1991/01/01,-1,1997/01/01;1990/01/01,1991/01/01;1997/01/01,1,1989/01/01,2000/01/01,NA,NA,NA,NA,none,yyyy/mm/dd,1 year
58,1991/01/01,-1,1998/01/01;1990/01/01,1991/01/01;1998/01/01,1,1989/01/01,2000/01/01,NA,NA,NA,NA,none,yyyy/mm/dd,1 year
58,1991/01/01,-1,1999/01/01;1990/01/01,1991/01/01;1999/01/01,1,1989/01/01,2000/01/01,NA,NA,NA,NA,none,yyyy/mm/dd,1 year
58,1991/01/01,-1,2000/01/01;1990/01/01,1991/01/01;2000/01/01,1,1989/01/01,2000/01/01,NA,NA,NA,NA,none,yyyy/mm/dd,1 year
